Company,Rating,Position,Salary,Size,Founded,Type,Industry,Sector,Revenue,Location
Genpact,3.8,DG - Manager - Data Scientist,₹254K - ₹308K (Glassdoor Est.),10000+ Employees,1997,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),DelhiNCR
CBRE,3.9,Sr Data Engineer,₹275K - ₹408K (Glassdoor Est.),10000+ Employees,1906,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,DelhiNCR
TRS Staffing,4.0,Data Analyst,,201 to 500 Employees,1985,Contract,Staffing & Outsourcing,Business Service,$100 to $500 million (USD),DelhiNCR
Aristocrat Technologies,3.9,Data Analyst,₹200K - ₹650K (Glassdoor Est.),5001 to 10000 Employees,1953,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),DelhiNCR
McKinsey &amp; Company,4.4,Data Science - Optimus AI,,10000+ Employees,1926,Company - Private,Consulting,Business Service,Unknown / Non-Applicable,DelhiNCR
dunnhumby,4.1,Senior Research Data Scientist,₹670K - ₹800K (Glassdoor Est.),1001 to 5000 Employees,1989,Company - Private,Consulting,Business Service,$500 million to $1 billion (USD),DelhiNCR
Honeywell,3.7,Data Analyst,₹379K - ₹695K (Glassdoor Est.),10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),DelhiNCR
Mahindra Comviva,3.5,Data Analyst,,1001 to 5000 Employees,1999,Company - Private,IT Service,Information Technology,$50 to $100 million (USD),DelhiNCR
dunnhumby,4.1,Senior Applied Data Scientist,,1001 to 5000 Employees,1989,Company - Private,Consulting,Business Service,$500 million to $1 billion (USD),DelhiNCR
Dürr IT Services India,4.0,Machine Learning Engineer/ Data Scientist,₹292K - ₹609K (Glassdoor Est.),10000+ Employees,,Company - Public,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD),DelhiNCR
dunnhumby,4.1,Applied Data Science Manager,₹850K - ₹944K (Glassdoor Est.),1001 to 5000 Employees,1989,Company - Private,Consulting,Business Service,$500 million to $1 billion (USD),DelhiNCR
Fidelity International,4.2,Data Analyst,,5001 to 10000 Employees,1969,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,DelhiNCR
Greenlight Planet,4.5,Data Engineer,,1001 to 5000 Employees,,Company - Private,Energy,"Oil, Gas, Energy & Utility",$50 to $100 million (USD),DelhiNCR
